Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,mfpn,mpn,lcsc,manufacturer_part_number
22,"-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23",AO3401A,Q2,AP2305AGN-HF-3,SOT-23,1,https://www.tme.eu/Document/fc64476bcfec1f3af35a324c08c5f351/AP2305AGN-3.pdf,5c70984712875079b91f8af1,,,,
23,"N-MOSFET transistor, source/gate/drain",Q_NMOS_SGD,Q1Q3Q5,DMT31M7LPS,D_POWERDI5060-8_6.0x5.1mm_P1.27mm,3,https://eu.mouser.com/datasheet/2/115/DIOD_S_A0006645066_1-2542967.pdf,669990696fdfe6f54e2eb28a,,,,DMT31M7LPS-13
24,"Resistor, small symbol",R_Small,R35,2mR,R_2512_6332Metric,1,https://www.tme.eu/Document/9eb17c5caf6d68fb7c80b751e0adae3a/LR12.pdf,669ba41c6fdfe6f54e2eb51d,,,,
25,"Resistor, small symbol",R_Small,R8R20R32R33R34R36,100,R_0805_2012Metric,6,~,,,,C17408 C25076,
26,"Resistor, small symbol",R_Small,R17,470R,R_1206_3216Metric,1,~,,,,C17887,
27,"Resistor, small symbol",R_Small,R7,2k2,R_0805_2012Metric,1,~,,,,,
28,"Resistor, small symbol",R_Small,R1R2R19R27R28,5k1,R_0805_2012Metric,5,~,5fa0fc3e12875025b3977997,,,C25905,
29,"Resistor, small symbol",R_Small,R5,5.24k,R_0805_2012Metric,1,~,,,,,
30,"Resistor, small symbol",R_Small,R9,6.04k,R_0805_2012Metric,1,~,,,,,
31,"Resistor, small symbol",R_Small,R11R24,10k,R_0805_2012Metric,2,~,,,,C25744,
32,Resistor,R,R13,15k,R_0805_2012Metric,1,~,5c70984712875079b91f8b6a,,,,
33,"Resistor, small symbol",R_Small,R6,30.31k,R_0805_2012Metric,1,~,,,,,
34,Resistor,R,R12,59k,R_0805_2012Metric,1,~,6087b414128750769ee590a1,,,,
35,Resistor,R,R10,91k,R_0805_2012Metric,1,~,5c70984712875079b91f8a95,,,,
36,"Resistor, small symbol",R_Small,R4,100k,R_0805_2012Metric,1,~,,,,,
37,"Resistor, small symbol",R_Small,R3,127k,R_0805_2012Metric,1,~,,,,,
38,"Resistor, small symbol",R_Small,R18R22R23,10M,R_0805_2012Metric,3,~,,,,C26082,
39,"Push button switch, generic, two pins",SW_Push,SW1SW2,SW_Push,SW_PUSH_SMALL,2,~,,,,,
40,"Temperature dependent resistor, negative temperature coefficient",Thermistor_NTC,TH1TH2,10k,R_0805_2012Metric,2,~,,,,C279801,
41,"Temperature dependent resistor, negative temperature coefficient",Thermistor_NTC,TH3TH4,NCP21XV103J03RA,R_0805_2012Metric,2,~,5c70984712875079b91f8ac5,,,,
42,,BQ25792RQMR,U1,BQ25792RQMR1,Texas_RQM0029A_VQFN-HR-28_4x4mm_P0.5mm,1,https://www.ti.com/lit/ds/symlink/bq25792.pdf,,,,,
43,,BQ40z50-R2,U3,BQ40z50-R2,Texas_RSM0032A_VQFN-32-4.1x4.1-EP-1.4,1,http://www.ti.com/lit/ds/symlink/bq40z50-r2.pdf,,,,C179743,
44,,LMR14050,U2,LMR14050,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,https://www.ti.com/lit/ds/symlink/lmr14050.pdf,6087b6ba128750769ee59110,,,,
